City,Category,Sub-Category,Product,SKU ID,Image,Brand,SKU Name,SKU Size,MRP,Selling Price,Item Link,In Stock,Out of Stock,Rating,Price
,BEVERAGES,"HEALTH DRINK, SUPPLEMENT",KIDS (5+YRS),253502,https://www.bigbasket.com/media/uploads/p/l/253502_8-boost-nutrition-drink-health-energy-sports.jpg,Boost,"Boost Chocolate Energy & Sports Nutrition Drink Refill, 750 g Carton",750 g Carton,Rs 449,Rs 374,https://www.bigbasket.com/pd/253502/boost-nutrition-drink-health-energy-sports-750-g-carton/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.2,₹449
,BEVERAGES,"HEALTH DRINK, SUPPLEMENT",KIDS (5+YRS),305560,https://www.bigbasket.com/media/uploads/p/l/305560_4-mtr-badam-drink-mix.jpg,MTR,"MTR Badam Drink Mix, 500 g",500 g,Rs 275,Rs 261,https://www.bigbasket.com/pd/305560/mtr-badam-drink-mix-500-g/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.2,₹245
,BEVERAGES,"HEALTH DRINK, SUPPLEMENT",MEN & WOMEN,227052,https://www.bigbasket.com/media/uploads/p/l/227052_10-ensure-nutritional-powder-vanilla-flavour.jpg,Ensure,Ensure Health Drink,400 g,Rs 740,Rs 720,https://www.bigbasket.com/pd/227052/ensure-nutritional-powder-vanilla-flavour-400-g/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.3,₹800
,BEVERAGES,"HEALTH DRINK, SUPPLEMENT",MEN & WOMEN,75013,https://www.bigbasket.com/media/uploads/p/l/75013_1-manna-health-mix-multigrain-health-nutrition-drink-for-kids-100-natural-14-ingredients.jpg,Manna,Manna Health Mix,1 kg cartoon,Rs 489,Rs 440.10,https://www.bigbasket.com/pd/75013/manna-health-mix-multigrain-health-nutrition-drink-for-kids-100-natural-14-ingredients-1-kg-cartoon/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.2,₹413.25
,BEVERAGES,"HEALTH DRINK, SUPPLEMENT",MEN & WOMEN,40271329,https://www.bigbasket.com/media/uploads/p/l/40271329_2-manna-health-mixsathu-maavu-100-natural-nutrition-no-added-sugar-multigrain-drink.jpg,Manna,Manna Health Mix/Sathu Maavu,600 g Carton,Rs 319,Rs 287.10,https://www.bigbasket.com/pd/40271329/manna-health-mixsathu-maavu-100-natural-nutrition-no-added-sugar-multigrain-drink-600-g-carton/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.2,₹253.38
,BEVERAGES,"HEALTH DRINK, SUPPLEMENT",MEN & WOMEN,272455,https://www.bigbasket.com/media/uploads/p/l/272455_20-horlicks-womens-plus-caramel.jpg,Horlicks,Horlicks Women's Plus,400 g Jar,Rs 355,Rs 335,https://www.bigbasket.com/pd/272455/horlicks-womens-plus-caramel-400-g-jar/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.2,₹326.6
,BEVERAGES,"HEALTH DRINK, SUPPLEMENT",MEN & WOMEN,40186468,https://www.bigbasket.com/media/uploads/p/l/40186468_2-womens-horlicks-womens-plus-caramel.jpg,Womens Horlicks,"Womens Horlicks Women's Plus, Caramel, 750 g",750 g,Rs 599,Rs 544,https://www.bigbasket.com/pd/40186468/womens-horlicks-womens-plus-caramel-750-g/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.3,₹539.1
,BEVERAGES,"HEALTH DRINK, SUPPLEMENT",MEN & WOMEN,40052960,https://www.bigbasket.com/media/uploads/p/l/40052960_16-horlicks-womens-plus-chocolate.jpg,Horlicks,"Horlicks Women's Plus, Chocolate, 400 g Carton",400 g Carton,Rs 320,Rs 300,https://www.bigbasket.com/pd/40052960/horlicks-womens-plus-chocolate-400-g-carton/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.3,₹297.6
,BEVERAGES,"HEALTH DRINK, SUPPLEMENT",MEN & WOMEN,258403,https://www.bigbasket.com/media/uploads/p/l/258403_9-ensure-nutritional-powder-chocolate-flavour.jpg,Ensure,Ensure Health Drink,400 g,Rs 840,Rs 820,https://www.bigbasket.com/pd/258403/ensure-nutritional-powder-chocolate-flavour-400-g/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.3,₹840
,BEVERAGES,"HEALTH DRINK, SUPPLEMENT",MEN & WOMEN,1223558,https://www.bigbasket.com/media/uploads/p/l/1223558_2-ensure-diabetes-care-diabetic-care-formula-mix-vanilla-specialised-nutrition-for-diabetes-management.jpg,ENSURE DIABETES CARE,"ENSURE DIABETES CARE Diabetic Care Formula Mix-Vanilla, Specialised Nutrition For Diabetes Management, 2 x 400g Multipack",2 x 400g Multipack,Rs 1850,Rs 1790,https://www.bigbasket.com/pd/1223558/ensure-diabetes-care-diabetic-care-formula-mix-vanilla-specialised-nutrition-for-diabetes-management-2-x-400g/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.2,₹1580
,BEVERAGES,"HEALTH DRINK, SUPPLEMENT",MEN & WOMEN,170752,https://www.bigbasket.com/media/uploads/p/l/170752_8-horlicks-lite-health-nutrition-drink-regular-malt-flavour.jpg,Horlicks,Horlicks Lite Health & Nutrition Drink,450 g Jar,Rs 345,Rs 323,https://www.bigbasket.com/pd/170752/horlicks-lite-health-nutrition-drink-regular-malt-flavour-450-g-jar/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.2,₹321
,BEVERAGES,TEA,EXOTIC & FLAVOURED TEA,40299315,https://www.bigbasket.com/media/uploads/p/l/40299315_1-jawai-rajwadi-masala-milk-instant-premix.jpg,Jawai,"Jawai Rajwadi Masala Milk Instant Premix, 100 g",100 g,Rs 149,Rs 135,https://www.bigbasket.com/pd/40299315/jawai-rajwadi-masala-milk-instant-premix-100-g/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.3,₹199
,BEVERAGES,TEA,EXOTIC & FLAVOURED TEA,40299316,https://www.bigbasket.com/media/uploads/p/l/40299316_1-jawai-lemony-iced-tea-instant-premix.jpg,Jawai,"Jawai Lemony Iced Tea Instant Premix, 100 g",100 g,Rs 149,Rs 74,https://www.bigbasket.com/pd/40299316/jawai-lemony-iced-tea-instant-premix-100-g/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,5,₹140.06
,BEVERAGES,TEA,GREEN TEA,40077764,https://www.bigbasket.com/media/uploads/p/l/40077764_6-lipton-honey-lemon-green-tea.jpg,Lipton,"Lipton Honey Lemon Green Tea, 140 g (100 Bags x 1.4 g each)",140 g (100 Bags x 1.4 g each),Rs 625,Rs 531.25,https://www.bigbasket.com/pd/40077764/lipton-honey-lemon-green-tea-140-g/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.3,₹531.25
,BEVERAGES,TEA,GREEN TEA,20004601,https://www.bigbasket.com/media/uploads/p/l/20004601_3-tetley-green-tea-lemon-honey.jpg,Tetley,Tetley Green Tea,140 g (100 Bags x 1.4 g each),Rs 625,Rs 486.25,https://www.bigbasket.com/pd/20004601/tetley-green-tea-lemon-honey-150-g/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.3,₹475
,BEVERAGES,TEA,GREEN TEA,273497,https://www.bigbasket.com/media/uploads/p/l/273497_3-tetley-green-tea-ginger-mint-lemon.jpg,Tetley,Tetley Green Tea,140 g (100 Bags x 1.4 g each),Rs 625,Rs 486.25,https://www.bigbasket.com/pd/273497/tetley-green-tea-ginger-mint-lemon-150-g/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.3,₹475
,BEVERAGES,TEA,GREEN TEA,268915,https://www.bigbasket.com/media/uploads/p/l/268915_8-lipton-pure-light-green-tea.jpg,Lipton,"Lipton Pure & Light Green Tea, 32.5 g (25 Bags x 1.3 g each)",32.5 g (25 Bags x 1.3 g each),Rs 170,Rs 153,https://www.bigbasket.com/pd/268915/lipton-pure-light-green-tea-325-g/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.3,₹145.2
